Name,Value,Team
Grant Hanley,4400000.0,Newcastle United
Paul Dummett,3850000.0,Newcastle United
Stuart Findlay,275000.0,Newcastle United
Curtis Good,275000.0,Newcastle United
Matt Ritchie,13200000.0,Newcastle United
Massadio Haidara,1650000.0,Newcastle United
Achraf Lazaar,1100000.0,Newcastle United
DeAndre Yedlin,8800000.0,Newcastle United
Javier Manquillo,5500000.0,Newcastle United
Jesús Gámez,2200000.0,Newcastle United
Jamie Sterry,83000.0,Newcastle United
Isaac Hayden,7700000.0,Newcastle United
Jack Colback,3850000.0,Newcastle United
Jonjo Shelvey,16500000.0,Newcastle United
Mikel Merino,11000000.0,Newcastle United
Mohamed Diamé,5500000.0,Newcastle United
Dan Barlaser,0,Newcastle United
Kenedy,11000000.0,Newcastle United
Henri Saivet,2200000.0,Newcastle United
Christian Atsu,6600000.0,Newcastle United
Rolando Aarons,770000.0,Newcastle United
Jacob Murphy,7700000.0,Newcastle United
Ayoze Pérez,11000000.0,Newcastle United
Islam Slimani,19800000.0,Newcastle United
Aleksandar Mitrovic,16500000.0,Newcastle United
Dwight Gayle,11000000.0,Newcastle United
Joselu,4400000.0,Newcastle United
Adam Armstrong,1650000.0,Newcastle United
Ivan Toney,550000.0,Newcastle United
Ben Foster,3300000.0,West Bromwich Albion
Boaz Myhill,1100000.0,West Bromwich Albion
Alex Palmer,0,West Bromwich Albion
Jonny Evans,16500000.0,West Bromwich Albion
Craig Dawson,8800000.0,West Bromwich Albion
Ahmed Hegazy,5500000.0,West Bromwich Albion
Ali Gabr,1650000.0,West Bromwich Albion
Gareth McAuley,1100000.0,West Bromwich Albion
Kyle Jameson,0,West Bromwich Albion
Nathan Ferguson,0,West Bromwich Albion
Kieran Gibbs,8800000.0,West Bromwich Albion
Max Melbourne,110000.0,West Bromwich Albion
Allan Nyom,4950000.0,West Bromwich Albion
Kane Wilson,275000.0,West Bromwich Albion
Grzegorz Krychowiak,19800000.0,West Bromwich Albion
